country,year,disorder,value
Latvia,2003,Bulimia,0.06651023525649674
Latvia,2003,Binge eating disorder,0.05837618661008921
Latvia,2004,Anorexia,0.06480316357500379
Latvia,2004,Bulimia,0.06515779029231278
Latvia,2004,Binge eating disorder,0.05957516303268342
Latvia,2005,Anorexia,0.06917495342298577
Latvia,2005,Bulimia,0.06343192953573985
Latvia,2005,Binge eating disorder,0.060740459641274364
Latvia,2006,Anorexia,0.06874287975693784
Latvia,2006,Bulimia,0.06548311802319501
Latvia,2006,Binge eating disorder,0.06286618271986716
Latvia,2007,Anorexia,0.0652451084760027
Latvia,2007,Bulimia,0.06952636432548659
Latvia,2007,Binge eating disorder,0.06648802049851071
Latvia,2008,Anorexia,0.07090345908787675
Latvia,2008,Bulimia,0.07234254543671054
Latvia,2008,Binge eating disorder,0.06191760937541272
Latvia,2009,Anorexia,0.07190946033085059
Latvia,2009,Bulimia,0.06947646300900574
Latvia,2009,Binge eating disorder,0.06744817596014367
Latvia,2010,Anorexia,0.07675255688092789
Latvia,2010,Bulimia,0.07159888014922741
Latvia,2010,Binge eating disorder,0.06346612076984472
Lithuania,2000,Anorexia,0.06014762576826942
Lithuania,2000,Bulimia,0.06096058844278482
Lithuania,2000,Binge eating disorder,0.056048966788945796
Lithuania,2001,Anorexia,0.067875225479725
Lithuania,2001,Bulimia,0.05854483036609107
Lithuania,2001,Binge eating disorder,0.05188612645418394
Lithuania,2002,Anorexia,0.06263056358907372
Lithuania,2002,Bulimia,0.06441676975314221
Lithuania,2002,Binge eating disorder,0.05432374565778403
Lithuania,2003,Anorexia,0.06701487391087937
Lithuania,2003,Bulimia,0.06432139608686942
Lithuania,2003,Binge eating disorder,0.053940518602251214
Lithuania,2004,Anorexia,0.06910401400456345
Lithuania,2004,Bulimia,0.06317384248992733
Lithuania,2004,Binge eating disorder,0.05775322020550918
Lithuania,2005,Anorexia,0.06767274650992233
Lithuania,2005,Bulimia,0.06886761988257435
Lithuania,2005,Binge eating disorder,0.05737222830750329
